ledger_id,order_id,customer_name,amount,currency,order_date,payment_method,status,refund_amount,notes
LED23434,ORD770487,Rahul Sharma,5984.09,INR,2026-02-01,card,paid,0.0,
LED83563,ORD133326,Rohan Patel,1905.38,INR,2026-03-06,upi,paid,0.0,
LED54597,ORD331148,Gaurav Iyer,2369.89,INR,2026-01-01,wallet,paid,0.0,
LED15695,ORD207175,Vikram Joshi,954.39,INR,2026-02-14,netbanking,paid,0.0,
LED19116,ORD182627,Raj Rao,5103.39,INR,2026-02-16,card,paid,0.0,
LED31319,ORD183667,Nikhil Rao,987.81,INR,2026-02-05,netbanking,paid,0.0,
LED31417,ORD835911,Sneha Iyer,5152.83,INR,2026-03-10,card,paid,0.0,
LED51347,ORD817870,Aditya Rao,6192.85,INR,2026-01-08,upi,paid,0.0,
LED44718,ORD322955,Pallavi Joshi,7100.53,INR,2026-03-24,card,paid,0.0,
LED76784,ORD883300,Nandini Mishra,4751.56,INR,2026-02-16,card,paid,0.0,
LED60019,ORD260265,Siddharth Verma,5507.75,INR,2026-03-18,wallet,paid,0.0,
LED24621,ORD813328,Rahul Desai,7101.35,INR,2026-02-04,netbanking,paid,0.0,
LED93748,ORD857168,Suresh Nair,6143.31,INR,2026-03-06,netbanking,paid,0.0,
LED74042,ORD899550,Siddharth Nair,7637.3,INR,2026-03-09,netbanking,paid,0.0,
LED19071,ORD351083,Arjun Kumar,7048.47,INR,2026-01-11,wallet,paid,0.0,
LED37760,ORD234628,Tushar Nair,1487.99,INR,2026-03-09,wallet,paid,0.0,
LED77839,ORD847581,Shreya Joshi,7962.16,INR,2026-03-25,wallet,paid,0.0,
LED19305,ORD454508,Rohan Iyer,4520.59,INR,2026-03-17,upi,paid,0.0,
LED38080,ORD132938,Tanya Patel,4210.42,INR,2026-02-05,wallet,paid,0.0,
LED56438,ORD354801,Tushar Verma,3375.07,INR,2026-01-13,wallet,paid,0.0,
LED35112,ORD806073,Ananya Sharma,3340.45,INR,2026-02-13,card,paid,0.0,
LED16630,ORD292401,Neha Reddy,2148.49,INR,2026-01-10,upi,paid,0.0,
LED44760,ORD324130,Swati Mishra,657.36,INR,2026-02-18,wallet,paid,0.0,
LED51104,ORD543555,Pallavi Singh,1681.2,INR,2026-01-28,upi,paid,0.0,
LED98501,ORD159642,Sachin Patel,6840.47,INR,2026-01-09,upi,paid,0.0,
LED44179,ORD707040,Meera Iyer,839.47,INR,2026-03-26,netbanking,paid,0.0,
LED19508,ORD378517,Swati Singh,5439.18,INR,2026-02-08,netbanking,paid,0.0,
LED58434,ORD176819,Kavya Nair,2268.56,INR,2026-02-14,card,paid,0.0,
LED27601,ORD741390,Madhuri Sharma,5409.33,INR,2026-03-12,upi,paid,0.0,
LED76244,ORD385577,Raj Iyer,1842.91,INR,2026-02-13,netbanking,paid,0.0,
LED93507,ORD765095,Nandini Rao,2358.11,INR,2026-01-01,card,paid,0.0,
LED81511,ORD678478,Nandini Nair,275.42,INR,2026-01-10,card,paid,0.0,
LED99399,ORD233636,Meera Gupta,3044.28,INR,2026-01-06,card,paid,0.0,
LED13248,ORD750810,Kiran Mishra,7453.07,INR,2026-01-21,wallet,paid,0.0,
LED15075,ORD941204,Riya Gupta,1441.74,INR,2026-03-31,wallet,paid,0.0,
LED96511,ORD466643,Shreya Rao,6403.69,INR,2026-01-30,upi,paid,0.0,
LED13617,ORD910891,Neha Mehta,5203.56,INR,2026-02-21,netbanking,paid,0.0,
LED60488,ORD140115,Ananya Iyer,3589.6,INR,2026-02-10,upi,paid,0.0,
LED57739,ORD843215,Nandini Sharma,4255.38,INR,2026-03-10,card,paid,0.0,
LED52753,ORD795612,Rahul Shah,7220.37,INR,2026-03-06,wallet,paid,0.0,
LED90676,ORD301158,Harsh Desai,7534.84,INR,2026-03-28,card,paid,0.0,
LED70946,ORD418635,Raj Kumar,3553.13,INR,2026-03-16,netbanking,paid,0.0,
LED22240,ORD932291,Siddharth Desai,861.41,INR,2026-03-07,netbanking,paid,0.0,
LED69692,ORD945742,Amit Singh,390.52,INR,2026-02-01,upi,paid,0.0,
LED65724,ORD618392,Swati Kumar,1351.06,INR,2026-03-30,upi,paid,0.0,
LED97500,ORD152657,Riya Mishra,6817.02,INR,2026-02-28,wallet,paid,0.0,
LED72216,ORD742412,Sachin Joshi,6678.44,INR,2026-03-12,card,paid,0.0,
LED47450,ORD903013,Madhuri Reddy,5088.64,INR,2026-02-05,upi,paid,0.0,
LED18418,ORD245095,Kiran Kumar,3187.68,INR,2026-01-20,card,paid,0.0,
LED85456,ORD535970,Arjun Kumar,6696.55,INR,2026-02-19,upi,paid,0.0,
LED73993,ORD890075,Vivek Rao,7154.8,INR,2026-02-23,card,paid,0.0,
